Epochs,Stopped,Batchsize,Domain_neur_1,Domain_neur_2,Path_neur_1,Path_neur_2,Query_neur_1,Query_neur_2,Path_Query_neur,Learning_rate,Precision,Recall,F_score,Mathews,TP,FP,FN,TN
40,true,64,1024,256,1024,256,1024,256,1024,0.001,0.881,0.691,0.77,0.711,13403,1804,5992,48801
40,true,64,1024,512,1024,256,1024,256,1024,0.001,0.87,0.687,0.77,0.702,13231,1976,6036,48757
40,true,64,1024,256,1024,512,1024,512,1024,0.001,0.846,0.703,0.77,0.701,12858,2349,5433,49360
40,true,64,1024,512,1024,256,1024,512,1024,0.001,0.841,0.711,0.77,0.704,12788,2419,5194,49599
40,true,64,1024,256,1024,512,1024,512,512,0.005,0.839,0.738,0.79,0.724,12760,2447,4521,50272
40,true,64,1024,512,1024,512,1024,256,1024,0.005,0.839,0.698,0.76,0.693,12755,2452,5516,49277
40,true,64,1024,256,1024,512,1024,256,512,0.005,0.838,0.751,0.79,0.732,12745,2462,4233,50560
40,true,64,1024,256,1024,256,1024,512,512,0.001,0.835,0.761,0.8,0.737,12698,2509,3994,50799
40,true,64,1024,512,1024,512,1024,256,512,0.001,0.828,0.764,0.79,0.735,12589,2618,3896,50897
40,true,64,1024,256,1024,256,1024,256,512,0.005,0.827,0.757,0.79,0.73,12569,2638,4038,50755
40,true,256,1024,256,1024,256,1024,512,1024,0.001,0.824,0.77,0.8,0.738,12523,2684,3733,51060
40,true,64,1024,256,1024,256,1024,256,1024,0.005,0.824,0.756,0.79,0.728,12536,2671,4041,50752
40,true,256,1024,256,1024,256,1024,512,512,0.005,0.821,0.781,0.8,0.744,12484,2723,3502,51291
40,true,256,1024,512,1024,256,1024,512,512,0.001,0.82,0.774,0.8,0.738,12466,2741,3632,51161
40,true,64,1024,256,1024,512,1024,512,512,0.001,0.82,0.757,0.79,0.726,12463,2744,3994,50799
40,true,64,1024,512,1024,256,1024,512,512,0.005,0.819,0.761,0.79,0.728,12448,2759,3904,50889
40,true,256,1024,256,1024,512,1024,512,1024,0.001,0.816,0.774,0.79,0.736,12416,2791,3617,51176
40,true,64,1024,256,1024,512,1024,256,1024,0.005,0.816,0.736,0.77,0.709,12413,2794,4455,50338
40,true,64,1024,512,1024,256,1024,512,1024,0.005,0.815,0.729,0.77,0.703,12392,2815,4609,50184
40,true,64,1024,512,1024,256,1024,256,512,0.001,0.814,0.774,0.79,0.734,12377,2830,3623,51170
40,true,128,1024,256,1024,512,1024,256,512,0.001,0.814,0.779,0.8,0.738,12381,2826,3508,51285
40,true,128,1024,512,1024,256,1024,512,512,0.005,0.814,0.778,0.8,0.737,12374,2833,3527,51266
40,true,256,1024,512,1024,512,1024,512,1024,0.005,0.813,0.778,0.8,0.737,12363,2844,3521,51272
